id,escolas_postos,bairro,endereço ,lat,lon
690,ESCOLA MUNICIPAL FINLANDIA,CAMORIM,RUA IGARAPE-ACU,-22.97199,-43.41011
202,E.M. PROFESSOR TEOFILO MOREIRA DA COSTA,VARGEM GRANDE,RUAA ESPERANCA 387,-22.98173,-43.49164
550,EM 25 DE ABRIL,FREGUESIA JPA,RUAA MAMORE 78,-22.93816,-43.34258
211,EM FRANCIS HIME,TAQUARA,ESTRADA PAU DA FOME 196,-22.91883,-43.41625
206,EM HONDURAS,PRACA SECA,PRACA BARAO DA TAQUARA 12,-22.89693,-43.35267
492,EM MENEZES CORTES,FREGUESIA JPA,PRACA JOSE ALVES DE AZEVEDO 43,-22.94266,-43.33897
466,ESCOLA MUNICIPAL NELSON RODRIGUES,TAQUARA,RUAA FREI LUIZ ALEVATO S/NDEG,-22.93533,-43.36973
636,EM PABLO NERUDA,TAQUARA,"ESTRADA DO MAPUA, S/NO RUAA 3",-22.92688,-43.38788
527,EM VIRGILIO VARZEA,PECHINCHA,RUAA JOSE SILVA 155,-22.93253,-43.35113
586,CIEP ANTONIO EVARISTO DE MORAES,SENADOR CAMARA,AVENIDA DE SANTA CRUZ S/NDEG,-22.88179,-43.48733
080,E.M. JOSE MAURO DE VASCONCELOS,BANGU,RUAA MARLIERIA S/NO,-22.85044,-43.46686
398,EM LEONARDO DA VINCI,BANGU,RUAA RUANATO RUABECCHI S/N.DEG,-22.89253,-43.47295
175,E.M. NACOES UNIDAS,BANGU,RUAA DOS LIMADORES S/NDEG,-22.88815,-43.47629
308,CIEP THOMAS JEFFERSON,REALENGO,ESTRADA DO ENGENHO NOVO S/NO,-22.86652,-43.42515
576,EM CORYNTHO DA FONSECA,REALENGO,RUAA URUQUE S/N.DEG,-22.85894,-43.44387
495,EM. ENGENHEIRO LAFAYETTE DE ANDRADA,DEODORO,"AV. DUQUE DE CAXIAS, 170",-22.85609,-43.38661
379,CIEP NELSON MANDELA,CAMPO GRANDE,"PRACA DANIEL LAMES, S/NO",-22.89558,-43.57051
641,EM LAURO MULLER,PADRE MIGUEL,"RUA RUASA DE ALMEIDA, 113",-22.88207,-43.44644
689,EM MOACIR PADILHA,PADRE MIGUEL,RUAA GENERAL GOMES DE CASTRO 30,-22.86877,-43.45065
171,ESCOLA MUNICIPAL PADRE LEONEL FRANCA,REALENGO,AVENIDA CANAL S/NDEG,-22.88346,-43.42945
477,EM PAULO MARANHAO,REALENGO,RUAA DO GOVERNO 866,-22.89299,-43.44122
206,EM HONDURAS,PRACA SECA,PRACA BARAO DA TAQUARA 12,-22896931.0,-43352667.0
687,EM TASSO DA SILVEIRA,REALENGO,RUAA GENERAL BERNARDINO DE MATOS S/N.O,-22.88386,-43.41733
568,EM VISCONDE DE PORTO SEGURO,JARDIM SULACAP,RUAA TEOFILO GUIMARAES 604,-22.88908,-43.39248
399,CIEP CLEMENTINA DE JESUS,CAMPO GRANDE,AV. ALHAMBRA S/NO,-22.92529,-43.56665
255,CIEP FRANCISCO CAVALCANTE PONTES DE MIRANDA,SENADOR VASCONCELOS,ESTRADA MORICABA S/NO,-22.92529,-43.56665
262,CIEP HERIVELTO MARTINS,AUGUSTO VASCONCELOS,"PRACA SANTO ANASTACIO, S/N",-22.88649,-43.5288
